File Name,Average Precision,Average Sequence Matcher Similarity Precision,Average Cosine Similarity Precision
exercise_2_01_types_ranges_result,13.0104186610319,18.7809573935861,9.72973370555166
exercise_7_08_print_result,21.3998215138317,20.3650996483281,12.1990861026223
exercise_4_14_swap_result,16.243878159005,16.138770567569,6.78887790787462
exercise_5_03_strcat_result,20.7731430900972,18.4863729016901,11.7707049024502
exercise_1_05_celsius_fahrenheit_result,19.0946067128235,20.7755643299765,14.777321816305
exercise_5_06_getop_result,16.6531383179254,17.2724293822839,10.843450721014
exercise_5_08_date_conversion_result,18.5565442527818,21.0214609088712,21.9072759375921
exercise_1_17_line_80_result,20.4430793172239,19.9022207166173,12.5088780681568
exercise_1_10_copy_io_esc_replace_result,35.9530711759179,24.8492330303156,19.1735587854385
exercise_5_04_strend_result,18.7507412505146,16.9611507228751,11.4967141290914
exercise_7_05_calculator_result,22.842525654768,19.6209632323894,15.4558612280592
exercise_2_07_invert_result,14.2283162959278,18.4912492229978,12.047537514046
exercise_2_09_bitcount_result,24.4701765581931,22.1417897447215,14.6032710694559
exercise_8_01_cat_result,19.1397872313442,18.766082478151,13.1110819484088
exercise_4_04_stack_result,21.5199602337854,20.3886264564957,14.4989800684855
exercise_7_07_find_result,18.8854748850644,17.4607456730164,10.865292456189
exercise_2_08_rightrot_result,23.7841721550127,23.758908638344,14.6450736364099
exercise_1_02_printf_argument_result,32.1657428568575,30.5274836218241,23.3014085570346
exercise_4_03_calculator_result,17.5027642130453,16.3167245953213,14.7857058121369
exercise_5_10_expr_result,24.3973707774755,20.6577165440486,15.739922915012
exercise_4_05_math_result,21.2220882060861,20.3568085879187,14.5399544898032
exercise_7_03_minprintf_result,25.5288842585021,24.1734926022436,16.5157837729825
exercise_1_14_frequency_histogram_result,26.2785616212639,22.474143674284,11.7773976327994
exercise_4_07_ungets_result,20.3387724826884,21.1675134144225,12.8168488154614
exercise_5_12_detab_result,23.0172115586054,18.8452028500645,11.6242498462823
exercise_1_01_hello_world_result,34.6908856891101,34.6842711597014,22.8632432114596
exercise_5_07_readlines_result,19.1219601579303,18.2605083306019,11.5038000628512
exercise_5_19_undcl_result,19.2863642997711,20.0000667692782,12.2861469141074
exercise_6_03_cross_referencer_result,21.1777791552509,19.7714140645493,14.6958190914956
exercise_5_06_reverse_result,17.7784122907167,16.6062875081463,9.38397192557247
exercise_6_01_count_c_keywords_result,19.8565084799155,18.2365347480699,10.2971193154877
exercise_5_20_dcl_result,20.056963893011,19.9474171551375,12.7665980158996
exercise_6_06_define_result,20.4430793172239,19.9022207166173,12.5088780681568
exercise_6_02_var_group_result,20.7846813006789,19.1360425788801,15.2088929428812
exercise_1_22_fold_line_result,18.3754465493664,18.1246876366905,11.0367258222176
exercise_8_04_syscalls_result,20.3210574512335,20.2549203266846,13.5520126637658
exercise_6_05_undef_result,21.8084910464055,19.9985517939999,14.294740567073
exercise_1_16_longest_line_result,22.3006833571494,21.0203586053355,12.971178272223
exercise_7_06_compare_result,16.8705427137846,17.3906412200796,10.6591870590039
exercise_3_03_expand_result,17.4085692654686,15.4596438121209,11.5348268151142
exercise_5_06_itoa_result,20.2714373638905,19.4917133276127,10.9238419367419
exercise_8_06_calloc_result,21.2204920505477,19.2669619231736,13.8448991055621
exercise_2_04_squeeze_result,19.3143866189222,16.2444366838498,14.1607104012804
exercise_1_23_c_remove_comments_result,18.8005910503889,17.4854878936543,9.05227381715234
exercise_2_05_any_result,20.7157886572888,17.3857746529494,15.0488736995923
exercise_6_04_words_frequency_result,22.0239178929043,19.9253634437322,15.4418310413866
exercise_5_05_strncat_result,19.268684677344,21.2697384581618,12.127162870832
exercise_2_03_htoi_result,18.6988071917787,18.5607211033084,11.9904047193068
exercise_1_11_word_count_test_result,21.6331358175427,19.7332273099275,11.0689279062844
exercise_5_13_tail_result,21.4448772471512,19.8609065586181,12.5181565161971
exercise_4_06_variables_result,21.5787572432728,20.9142300708171,14.4363909640905
exercise_1_24_check_syntax_result,18.7741258088255,18.399863127717,11.1810718935514
exercise_5_06_atoi_result,24.9854676054434,22.4411055750377,11.3284274598378
exercise_1_13_histogram_result,24.2295752873229,20.5482454500309,13.0345589344394
exercise_1_08_count_b_t_n_result,33.4358086732628,26.8800548051131,17.011708493422
exercise_5_05_strncmp_result,20.2290231392008,18.1559985165119,10.5232021537011
exercise_2_02_loop_result,20.3728746783511,19.498780857479,13.1176073167323
exercise_2_10_lower_result,25.789299614049,24.9270348732279,11.2036434282411
exercise_7_04_minscanf_result,21.5682424664316,20.6419671319481,16.0431726356099
exercise_7_01_case_result,19.6175875185567,21.3456176045076,13.7676371517096
exercise_5_06_getline_result,20.7155279489834,21.3905984752275,9.25579661402612
exercise_8_08_bfree_result,21.6531489338451,19.9596186884357,12.8200825380148
exercise_5_01_getint_result,21.3506199860989,18.990782537415,11.6544243941444
