name,Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3,SACREBLEU4,precision4,SequenceMatcher4,SACREBLEU5,precision5,SequenceMatcher5,SACREBLEU6,precision6,SequenceMatcher6
01_HelloWorld_result,11,6.4790667469036025,50.0,0.21,1.2557690800697192,5.714285714285714,0.13,6.4790667469036025,50.0,0.22,0.969094302009921,2.631578947368421,0.07,6.4790667469036025,50.0,0.22,28.889830842564407,47.36842105263158,0.65
01_HelloWorld_result,7,7.733712583165139,75.0,0.22,7.733712583165139,75.0,0.22,7.733712583165139,75.0,0.22,7.733712583165139,75.0,0.22,100.00000000000004,100.0,0.91,7.733712583165139,75.0,0.22
01_HelloWorld_result,2,22.31618068926665,55.55555555555556,0.76,0.0,66.66666666666667,0.18,34.57207846419412,75.0,0.82,0.0,66.66666666666667,0.18,0.0,66.66666666666667,0.18,0.0,66.66666666666667,0.18
01_HelloWorld_result,2,27.054113452696992,75.0,0.92,15.619699684601285,57.142857142857146,0.8,27.054113452696992,75.0,0.92,19.30486975480448,66.66666666666667,0.79,100.00000000000004,100.0,0.91,0.0,66.66666666666667,0.19
01_HelloWorld_result,8,1.3353534059549443,3.571428571428572,0.15,7.809849842300637,28.571428571428573,0.32,3.3864985683445354,8.333333333333334,0.28,0.0,100.0,0.25,19.30486975480448,66.66666666666667,0.9,0.0,0.0,0.12
01_HelloWorld_result,1,0.0,100.0,0.67,0.0,100.0,0.67,0.0,50.0,0.5,0.0,100.0,0.67,0.0,100.0,0.67,0.0,100.0,0.67
02_FontYellowColor_result,11,2.5540496664715904,11.11111111111111,0.21,0.0,0.0,0.13,1.0559717178170818,2.857142857142857,0.12,0.7067604405306844,3.278688524590164,0.08,0.8671339908544159,4.0,0.11,0.0,0.0,0.13
02_FontYellowColor_result,7,11.339582221952003,44.44444444444444,0.44,9.688464563433238,25.0,0.17,5.522397783539471,30.0,0.39,9.688464563433238,25.0,0.17,7.267884212102741,37.5,0.37,9.688464563433238,25.0,0.17
02_FontYellowColor_result,2,23.643540225079384,60.0,0.55,0.0,0.0,0.12,23.643540225079384,60.0,0.65,0.0,0.0,0.12,0.0,0.0,0.07,0.0,0.0,0.12
02_FontYellowColor_result,2,17.965205598154213,50.0,0.48,35.35533905932737,75.0,0.56,17.965205598154213,50.0,0.48,35.35533905932737,75.0,0.53,17.965205598154213,50.0,0.5,35.35533905932737,75.0,0.53
02_FontYellowColor_result,8,0.0,66.66666666666667,0.4,12.703318703865364,40.0,0.2,0.0,66.66666666666667,0.3,12.703318703865364,40.0,0.36,12.703318703865364,40.0,0.4,12.703318703865364,40.0,0.38
02_FontYellowColor_result,1,51.93071778680675,72.72727272727273,0.84,53.48259312838876,81.81818181818181,0.86,51.93071778680675,72.72727272727273,0.84,8.820727472213227,57.142857142857146,0.43,8.820727472213227,57.142857142857146,0.43,53.48259312838876,81.81818181818181,0.86
02_FontYellowColor_result,11,100.00000000000004,100.0,0.92,36.462858619364674,58.333333333333336,0.66,6.4790667469036025,50.0,0.21,100.00000000000004,100.0,0.92,70.71067811865478,90.0,0.91,11.737849637633069,57.142857142857146,0.45
02_FontYellowColor_result,7,7.733712583165139,75.0,0.21,45.180100180492246,70.0,0.84,39.34995962231127,57.142857142857146,0.63,66.06328636027612,88.88888888888889,0.89,46.71379777282,80.0,0.87,66.06328636027612,88.88888888888889,0.89
02_FontYellowColor_result,2,0.0,66.66666666666667,0.18,23.35689888641001,66.66666666666667,0.8,59.4603557501361,87.5,0.93,23.35689888641001,66.66666666666667,0.8,41.11336169005198,75.0,0.65,13.485111859503691,44.44444444444444,0.49
02_FontYellowColor_result,2,27.054113452696992,75.0,0.86,27.054113452696992,75.0,0.86,100.00000000000004,100.0,0.91,27.054113452696992,75.0,0.86,17.542198478193427,45.45454545454545,0.42,27.403115968356843,100.0,0.36
02_FontYellowColor_result,8,3.3864985683445354,8.333333333333334,0.27,19.30486975480448,66.66666666666667,0.9,100.00000000000004,100.0,0.96,3.089055318156697,7.6923076923076925,0.22,100.00000000000004,100.0,0.96,42.72870063962342,80.0,0.93
02_FontYellowColor_result,1,2.0244462660665508,5.2631578947368425,0.05,0.0,0.0,0.05,0.0,100.0,0.67,0.0,0.0,0.05,0.0,50.0,0.5,0.0,0.0,0.05
03_Variables_result,11,12.982679446701692,54.54545454545455,0.53,1.286713095960916,3.4482758620689653,0.19,0.918708060432945,2.5,0.16,1.982256626710344,12.0,0.17,4.642454187453896,50.0,0.21,2.738135694298231,14.583333333333334,0.24
03_Variables_result,7,12.759307794697138,55.55555555555556,0.38,4.690733795095046,75.0,0.21,12.549310621989482,50.0,0.37,4.690733795095046,75.0,0.21,31.76215203205584,66.66666666666667,0.51,4.690733795095046,75.0,0.21
