name,Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3,,WithinTop3 (Precision),SequenceMatch
17_Circle_result,11,6.83720333911628,23.0769230769231,0.39,6.77299713668907,16.6666666666667,0.45,6.28559633826126,21.4285714285714,0.41,,23.0769230769231,0.45
17_Circle_result,7,3.67352656298894,15.3846153846154,0.27,9.68846456343324,25,0.3,4.06542542879872,23.0769230769231,0.25,,25,0.3
17_Circle_result,2,14.5357684242055,42.8571428571429,0.36,4.99004970193683,20,0.25,,,,,42.8571428571429,0.36
17_Circle_result,2,0,0,0.12,35.3553390593274,75,0.62,,,,,75,0.62
17_Circle_result,8,0,66.6666666666667,0.5,0,0,0.33,0,100,0.91,,100,0.91
17_Circle_result,1,2.63610804716732,32,0.34,,,,,,,,32,0.34
17_Circle_result,11,14.9497517749907,57.1428571428571,0.69,4.78923220430991,33.3333333333333,0.28,6.69900714169156,25,0.48,,57.1428571428571,0.69
17_Circle_result,7,10.2522861181209,63.6363636363636,0.58,39.4588125559177,72.7272727272727,0.71,39.4588125559177,72.7272727272727,0.63,,72.7272727272727,0.71
17_Circle_result,2,6.27465531099474,50,0.58,0,0,0.15,,,,,50,0.58
17_Circle_result,2,21.1053406318726,66.6666666666667,0.71,7.12938488226037,55.5555555555556,0.43,,,,,66.6666666666667,0.71
17_Circle_result,8,0,0,0.04,0,0,0.08,0,0,0.08,,0,0.08
17_Circle_result,1,22.0895911341579,50,0.72,,,,,,,,50,0.72
17_Circle_result,8,4.19611490629655,10,0.15,5.52239778353947,12.5,0.2,8.11669788687748,16.6666666666667,0.43,,16.6666666666667,0.43
17_Circle_result,1,100,100,0.91,,,,,,,,100,0.91
17_Circle_result,8,6.5672747360604,14.2857142857143,0.4,15.9735776061568,25,0.5,0,0,0.46,,25,0.5
17_Circle_result,1,31.9471552123136,50,0.62,,,,,,,,50,0.62
17_Circle_result,8,3.38649856834454,8.33333333333333,0.17,0,0,0.33,15.9735776061568,25,0.46,,25,0.46
17_Circle_result,1,0,100,0.67,,,,,,,,100,0.67
17_Circle_result,1,42.4926675005649,84.2105263157895,0.8,,,,,,,,84.2105263157895,0.8
17_Circle_result,11,4.99004970193683,20,0.17,6.77299713668907,16.6666666666667,0.43,15.6196996846013,57.1428571428571,0.35,,57.1428571428571,0.43
17_Circle_result,7,3.74777673667792,9.09090909090909,0.11,9.68846456343324,25,0.26,6.5672747360604,14.2857142857143,0.13,,25,0.26
17_Circle_result,2,0,0,0.08,0,0,0.08,,,,,0,0.08
17_Circle_result,2,35.3553390593274,75,0.5,35.3553390593274,75,0.5,,,,,75,0.5
17_Circle_result,8,0,66.6666666666667,0.43,0,66.6666666666667,0.38,0,66.6666666666667,0.43,,66.6666666666667,0.43
17_Circle_result,1,3.17317688539389,21.875,0.32,,,,,,,,21.875,0.32
17_Circle_result,11,7.76856284638017,50,0.62,25.2119361843498,66.6666666666667,0.78,54.5246911963087,83.3333333333333,0.81,,83.3333333333333,0.81
