name,Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3,,Max Precision,Max Seq Match
strindex_result,24,2.62796171040844,6.66666666666667,0.14,2.62796171040844,6.66666666666667,0.08,2.62796171040844,6.66666666666667,0.09,,6.66666666666667,0.14
strindex_result,3,0,100,1,1.81608494154393,4.76190476190476,0.18,0.456245405088075,1.26582278481013,0.07,,100,1
strindex_result,3,5.60423337548057,45.4545454545455,0.18,4.2745809231896,46.6666666666667,0.44,64.7912152509015,69.2307692307692,0.57,,69.2307692307692,0.57
strindex_result,15,0,0,0.05,0.408766391387461,1.13636363636364,0.05,2.83983872256779,7.14285714285714,0.21,,7.14285714285714,0.21
strindex_result,4,1.24149434153529,3.33333333333333,0.02,0,0,0,0,0,0,,3.33333333333333,0.02
strindex_result,4,0.439239126410225,1.21951219512195,0.01,0.433848668424859,1.20481927710843,0.01,2.02444626606655,5.26315789473684,0.03,,5.26315789473684,0.03
strindex_result,2,23.462350320528,36.3636363636364,0.32,2.7160394441483,4.81927710843374,0.07,,,,,36.3636363636364,0.32
strindex_result,16,3.74777673667792,9.09090909090909,0.24,3.38649856834454,8.33333333333333,0.2,0,0,0,,9.09090909090909,0.24
strindex_result,4,3.38649856834454,8.33333333333333,0.04,0.413548097853013,1.14942528735632,0.01,3.38649856834454,8.33333333333333,0.05,,8.33333333333333,0.05
strindex_result,4,0,0,0.4,3.74777673667792,9.09090909090909,0.06,3.74777673667792,9.09090909090909,0.06,,9.09090909090909,0.4
strindex_result,1,0.456245405088075,1.26582278481013,0.01,,,,,,,,1.26582278481013,0.01
strindex_result,1,0.418443010188189,1.16279069767442,0.01,,,,,,,,1.16279069767442,0.01
strindex_result,24,3.38649856834454,8.33333333333333,0.15,2.1476912089159,5.55555555555556,0.1,2.44559393724036,6.25,0.08,,8.33333333333333,0.15
strindex_result,3,0,0,0.02,0,0,0.12,0,0,0.02,,0,0.12
strindex_result,3,4.99004970193683,20,0.2,39.7635364383525,60,0.6,4.02724819242185,16.6666666666667,0.11,,60,0.6
strindex_result,15,0,0,0.31,10.6821751599058,20,0.44,10.6821751599058,20,0.44,,20,0.44
strindex_result,1,0.508775756200826,1.40845070422535,0.01,,,,,,,,1.40845070422535,0.01
strindex_result,1,25.7351268928148,48.0769230769231,0.44,,,,,,,,48.0769230769231,0.44
strindex_result,35,0,0,0.1,0,0,0.05,0,0,0.05,,0,0.1
strindex_result,3,0.508775756200826,1.40845070422535,0.01,6.5672747360604,14.2857142857143,0.15,0,0,0,,14.2857142857143,0.15
strindex_result,3,0,0,0,6.77299713668907,16.6666666666667,0.14,0,0,0,,16.6666666666667,0.14
strindex_result,1,3.38649856834454,8.33333333333333,0.07,,,,,,,,8.33333333333333,0.07
strindex_result,1,6.77299713668907,16.6666666666667,0.14,,,,,,,,16.6666666666667,0.14
strindex_result,15,3.38649856834454,8.33333333333333,0.07,2.62796171040844,6.66666666666667,0.04,15.9735776061568,25,0.14,,25,0.14
strindex_result,1,4.7677070204571,11.1111111111111,0.1,,,,,,,,11.1111111111111,0.1
strindex_result,35,0,0,0.11,4.7677070204571,11.1111111111111,0.35,0,0,0.06,,11.1111111111111,0.35
strindex_result,3,0.969094302009921,2.63157894736842,0.02,5.52239778353947,12.5,0.11,4.7677070204571,11.1111111111111,0.1,,12.5,0.11
strindex_result,3,1.70449057314139,4.65116279069768,0.03,1.03241020949783,2.85714285714286,0.02,0,0,0,,4.65116279069768,0.03
strindex_result,1,0,0,0,,,,,,,,0,0
strindex_result,1,21.3643503198117,40,0.33,,,,,,,,40,0.33
strindex_result,15,4.7677070204571,11.1111111111111,0.1,0,0,0,4.7677070204571,11.1111111111111,0.1,,11.1111111111111,0.1
strindex_result,1,2.44559393724036,6.25,0.04,,,,,,,,6.25,0.04
strindex_result,35,1.15997138349695,3.125,0.13,0,0,0.38,0,0,0.29,,3.125,0.38
strindex_result,6,36.7879441171443,100,0.43,52.9876530849528,75,0.76,52.7083713627356,85.7142857142857,0.81,,100,0.81
strindex_result,14,1.12309964460398,3.03030303030303,0.03,0,0,0,2.02444626606655,5.26315789473684,0.05,,5.26315789473684,0.05
strindex_result,1,40.016016019225,46.6666666666667,0.65,,,,,,,,46.6666666666667,0.65
strindex_result,14,8.11669788687748,16.6666666666667,0.73,6.5672747360604,14.2857142857143,0.7,6.5672747360604,14.2857142857143,0.7,,16.6666666666667,0.73
strindex_result,6,100,100,0.91,61.4788152951264,71.4285714285714,0.77,75.9835685651593,83.3333333333333,0.83,,100,0.91
strindex_result,14,8.11669788687748,16.6666666666667,0.25,3.74777673667792,9.09090909090909,0.15,4.19611490629655,10,0.08,,16.6666666666667,0.25
strindex_result,1,13.1345494721208,28.5714285714286,0.4,,,,,,,,28.5714285714286,0.4
strindex_result,14,6.5672747360604,14.2857142857143,0.1,10.6821751599058,20,0.33,15.9735776061568,25,0.4,,25,0.4
strindex_result,1,0,50,0.67,,,,,,,,50,0.67
strindex_result,1,0,0,0,,,,,,,,0,0
strindex_result,1,10.6821751599058,20,0.12,,,,,,,,20,0.12
strindex_result,35,0,0,0,0,0,0.38,0,33.3333333333333,0.94,,33.3333333333333,0.94
strindex_result,9,0,100,1,0,100,1,0,100,1,,100,1
strindex_result,1,0,50,0.5,,,,,,,,50,0.5
strindex_result,35,0.433848668424859,1.20481927710843,0.01,0,0,0,0,0,0,,1.20481927710843,0.01
strindex_result,24,2.83983872256779,7.14285714285714,0.17,0,33.3333333333333,0.38,0,33.3333333333333,0.4,,33.3333333333333,0.4
strindex_result,3,0,100,1,2.02444626606655,5.26315789473684,0.25,0.433848668424859,1.20481927710843,0.1,,100,1
strindex_result,3,12.192091596713,63.6363636363636,0.74,48.3269783090622,81.8181818181818,0.67,6.98676836437399,38.8888888888889,0.4,,81.8181818181818,0.74
strindex_result,15,4.7677070204571,11.1111111111111,0.25,0.413548097853013,1.14942528735632,0.05,3.0890553181567,7.69230769230769,0.22,,11.1111111111111,0.25
strindex_result,4,4.19611490629655,10,0.1,0,0,0,0,0,0,,10,0.1
strindex_result,4,0.462210663399876,1.28205128205128,0.01,0,0,0.14,3.0890553181567,7.69230769230769,0.09,,7.69230769230769,0.14
strindex_result,2,19.3385313817617,30.7692307692308,0.31,2.89359512813036,5.12820512820513,0.09,,,,,30.7692307692308,0.31
strindex_result,16,3.74777673667792,9.09090909090909,0.24,15.9735776061568,25,0.47,0,0,0,,25,0.47
strindex_result,4,15.9735776061568,25,0.18,5.52239778353947,12.5,0.13,4.19611490629655,10,0.11,,25,0.18
strindex_result,4,0.433848668424859,1.20481927710843,0.01,0,0,0.33,3.38649856834454,8.33333333333333,0.07,,8.33333333333333,0.33
strindex_result,1,5.52239778353947,12.5,0.08,,,,,,,,12.5,0.08
strindex_result,1,15.1974774301874,50.6493506493507,0.22,,,,,,,,50.6493506493507,0.22
strindex_result,35,0,0,0.01,0,33.3333333333333,0.36,0,0,0.01,,33.3333333333333,0.36
strindex_result,3,0,0,0,3.0890553181567,7.69230769230769,0.04,0,0,0,,7.69230769230769,0.04
strindex_result,2,0,0,0.08,0,0,0.21,,,,,0,0.21
strindex_result,1,0.487717849567159,1.35135135135135,0.01,,,,,,,,1.35135135135135,0.01
strindex_result,35,0.501557250020253,1.38888888888889,0.04,8.11669788687748,16.6666666666667,0.35,0,0,0.04,,16.6666666666667,0.35
strindex_result,3,0,33.3333333333333,0.33,0,33.3333333333333,0.5,0,0,0,,33.3333333333333,0.5
strindex_result,2,0,0,0.22,0,0,0.03,,,,,0,0.22
strindex_result,1,0.474621762373,1.31578947368421,0.01,,,,,,,,1.31578947368421,0.01
strindex_result,35,0.52385467147083,1.44927536231884,0.03,10.6821751599058,20,0.33,2.02444626606655,5.26315789473684,0.12,,20,0.33
strindex_result,3,0,0,0,0,0,0.33,0,0,0,,0,0.33
strindex_result,1,0.481080686002126,1.33333333333333,0.02,,,,,,,,1.33333333333333,0.02
strindex_result,15,0,0,0,0,0,0.01,0,0,0,,0,0.01
strindex_result,1,3.0890553181567,7.69230769230769,0.04,,,,,,,,7.69230769230769,0.04
strindex_result,8,54.4473209105077,76.3157894736842,0.37,10.0172279352888,83.3333333333333,0.24,10.0172279352888,83.3333333333333,0.24,,83.3333333333333,0.37
strindex_result,1,30.9992492123517,72.5490196078431,0.21,,,,,,,,72.5490196078431,0.21
strindex_result,9,0.548227166638215,1.51515151515152,0.01,1.02533116031168,2.77777777777778,0.03,2.62796171040844,6.66666666666667,0.06,,6.66666666666667,0.06
strindex_result,9,0.487717849567159,1.35135135135135,0.01,0.462210663399876,1.28205128205128,0.01,0.474621762373,1.31578947368421,0.01,,1.35135135135135,0.01
strindex_result,2,2.67070681190989,7.14285714285714,0.06,2.88916199635417,7.69230769230769,0.05,,,,,7.69230769230769,0.06
strindex_result,11,0,33.3333333333333,0.44,1.95000681093635,4.34782608695652,0.05,1.84088804499667,4.10958904109589,0.03,,33.3333333333333,0.44
strindex_result,2,55.1369354059482,68.4931506849315,0.39,0.291390553687696,63.6363636363636,0.14,,,,,68.4931506849315,0.39
strindex_result,8,61.4087615046108,79.1044776119403,0.3,56.2961520621567,74.3243243243243,0.4,57.083702098189,75.3424657534247,0.32,,79.1044776119403,0.4
strindex_result,8,48.9323441480893,61.6438356164384,0.29,48.4462551190703,62.5,0.29,48.9236157665336,62.5,0.41,,62.5,0.41
strindex_result,2,4.48991185926449,64.7058823529412,0.23,41.1982190290202,57.8947368421053,0.46,,,,,64.7058823529412,0.46
strindex_result,11,0,0,0,0,0,0,0.494540735251711,1.36986301369863,0.01,,1.36986301369863,0.01
strindex_result,9,0.53173439651848,1.47058823529412,0.01,0.481080686002126,1.33333333333333,0.01,0.508775756200826,1.40845070422535,0.01,,1.47058823529412,0.01
strindex_result,2,1.06346879303696,2.94117647058824,0.02,1.13155193124191,3.125,0.02,,,,,3.125,0.02
strindex_result,11,0.53173439651848,1.47058823529412,0.01,0.52385467147083,1.44927536231884,0.01,0.516205104748914,1.42857142857143,0.01,,1.47058823529412,0.01
strindex_result,9,0.481080686002126,1.33333333333333,0.01,0.52385467147083,1.44927536231884,0.01,0.494540735251711,1.36986301369863,0.01,,1.44927536231884,0.01
strindex_result,3,41.4568974382671,57.1428571428571,0.27,40.8348387605315,55.2238805970149,0.31,7.09765114099768,60,0.28,,60,0.31
strindex_result,8,40.9987398519339,57.1428571428571,0.31,5.48067650375486,54.2857142857143,0.24,5.47655536454897,55.8823529411765,0.24,,57.1428571428571,0.31
strindex_result,35,1.02533116031168,2.77777777777778,0.09,1.81608494154393,4.76190476190476,0.12,0,0,0.24,,4.76190476190476,0.24
strindex_result,11,0,33.3333333333333,0.4,10.6821751599058,20,0.14,4.19611490629655,10,0.1,,33.3333333333333,0.4
strindex_result,14,1.81608494154393,4.76190476190476,0.03,2.02444626606655,5.26315789473684,0.03,2.02444626606655,5.26315789473684,0.03,,5.26315789473684,0.03
strindex_result,1,1.81608494154393,4.76190476190476,0.02,,,,,,,,4.76190476190476,0.02
strindex_result,35,3.38649856834454,8.33333333333333,0.24,2.44559393724036,6.25,0.18,0,0,0.24,,8.33333333333333,0.24
strindex_result,11,0,33.3333333333333,0.4,3.0890553181567,7.69230769230769,0.06,5.52239778353947,12.5,0.1,,33.3333333333333,0.4
strindex_result,14,0,50,0.67,0,0,0,8.11669788687748,16.6666666666667,0.11,,50,0.67
strindex_result,1,2.44559393724036,6.25,0.04,,,,,,,,6.25,0.04
strindex_result,8,40.0409437209984,56.5217391304348,0.48,12.3518248224477,31.1688311688312,0.14,10.6747026312343,34.375,0.13,,56.5217391304348,0.48
