File Name,Average Precision,Average Sequence Matcher Similarity Precision,Average Cosine Similarity Precision
getch_result,34.0596118326599,39.4320698892094,23.8217105258926
verify_expression_result,22.4126683501683,22.0846154536488,5.27332279500546
strindex_result,22.9717018593672,24.8870941034508,21.1960086676675
date_conversion_result,24.6195457633944,30.6657191158856,30.7467370296819
swap_result,21.9742190835007,24.1295983426199,9.20044469463642
case_result,20.491704352569,25.4389292462038,14.0349965409231
minscanf_result,26.5085929484993,28.9436489383875,22.259109096601
getfloat_result,24.2696555858822,25.0990264279396,13.4336160526732
getint_result,25.2319263814714,25.0508834103913,16.7842355183634
histogram_result,28.3406625836451,26.027088631125,22.216494780634
binsearch_result,24.9960445507389,27.7756720975596,21.7194014943757
hello_world_result,33.250313478434,40.703880706476,14.6256821169934
var_group_result,25.1687053768472,25.1532537269446,19.2769346757503
copy_io_esc_replace_result,41.1823553737011,36.5089689413798,27.4522903886791
readlines_result,23.9098915620489,26.344746724048,17.8374247789539
strend_result,21.5989849705666,26.2152792145302,19.0024109100735
undcl_result,22.9293609814644,21.1972730993864,11.4054581798827
strcat_result,27.5999285245952,30.2802335298712,16.0825975078783
compare_result,22.5302748182491,23.466325982406,16.1470140614903
frequency_histogram_result,31.0469673259288,30.0960338712455,18.4682952336492
print_result,26.0158350326614,28.3491899171967,18.698986758861
bfree_result,26.5094892216957,26.1181553132503,17.7596818446485
getop_result,19.3742702724778,19.1487888078817,10.3446573089675
strncmp_result,23.8247235579531,25.4228299748186,13.9039191122714
entab_result,25.9594186649871,22.9339123426657,14.6151900718642
cross_referencer_result,24.8452860772984,25.1728496924353,19.8698182818807
rightrot_result,26.8887446687314,29.3289700740482,14.6323861925406
print_eof_result,20.3125,22.1928796411502,10.5169191821488
count_c_keywords_result,23.1750068671173,22.5660602770083,13.6681671172057
escape_result,27.1851206468969,25.9947707852117,22.4062695419088
expr_result,26.8980817289385,25.095506753461,21.99271033198
atof_result,24.0436940254441,23.1269601650773,12.7280679094459
longest_line_result,25.6098729743825,26.6072481397542,19.4695173897611
fsize_result,25.3742285712259,28.123075780746,18.7441053313063
fold_line_result,22.072321575645,21.3109530390446,15.5379528983576
calculator_result,26.8054990214744,24.4742109538863,21.3181805209638
minprintf_result,29.846210625149,29.5515199474037,20.6175386667946
stack_result,25.8548512446872,26.3615865614491,19.0288327371678
expand_result,20.1365572637937,19.6575091193931,17.3621534364785
printf_argument_result,36.859477124183,40.208577816421,19.0323541452673
sort_result,22.945897767995,23.7504979753856,16.1913023697133
setbits_result,16.4396990408648,19.9436564625963,13.5303094315744
math_result,25.6647248250001,26.4292835745987,19.3588535791796
htoi_result,21.5456848935766,21.9342257213371,20.3380107077287
invert_result,15.9150758653085,19.8996039427128,15.1722119837494
isupper_result,25.739709655309,28.6188328587983,14.1412548537575
dcl_result,22.9112818386047,20.850619954201,11.7969673391062
tail_result,23.562567771479,24.5610915556184,16.4359047541899
calloc_result,28.1149565582365,28.1636144508622,19.6184480954664
syscalls_result,25.4785100222871,26.7390197497789,18.372646104243
reverse_result,24.2928043116801,25.3104371093336,15.7544942033273
fahrenheit_celsius_result,22.9813869297513,31.1439350377542,25.5403462191866
detab_result,25.0661846362747,22.3749286189174,16.2680826997334
types_ranges_result,16.8850731399392,22.2657582152243,9.76470202481078
words_frequency_result,26.0931890077547,26.9214027665609,21.8327233313201
date_conversion_pointers_result,24.2230499575115,30.1739644533929,30.4214764622112
count_b_t_n_result,35.6308607597582,33.4060810134292,18.776184150384
temperature_conversion_result,24.4171348749057,29.9028044735734,22.0760070819885
malloc_free_result,28.1226178545352,27.1273508551822,18.8905326004506
copy_io_result,28.0052290696396,27.5519907572285,19.6544207050335
check_syntax_result,22.7671900608613,22.1527737515666,15.1193560870651
any_result,25.7071495047516,27.3075955357182,23.0512068787557
atoi_result,28.1489699570024,29.2486431846568,13.3555304128189
itoa_result,24.9433475098509,27.3066648566995,16.7200033652269
line_80_result,24.8063373019029,28.7412248548294,20.0503047985219
trailing_blanks_result,22.6701580483389,26.3025068221439,20.3468051890494
variables_result,24.7627266141147,25.5444295268687,17.4574661898411
ungets_result,24.5165453769227,28.5049039989667,19.8384992807858
bitcount_result,24.8284664658333,29.0629112217387,12.4829926779477
getline_result,24.6008393673726,29.3489247268471,11.3820008226481
copy_io_nl_result,29.0768606708175,25.7171780755251,19.3182729611968
word_count_test_result,26.2275784120568,24.4402462135999,17.9148170576493
c_remove_comments_result,23.1039477493946,22.1378124268968,15.5953529845383
celsius_fahrenheit_result,23.1284966940251,29.5607192979869,25.3846426648382
strncat_result,21.7168184486955,25.6486614628565,15.9952781139107
lower_result,29.9836122559896,35.0678162021282,12.9119933453863
loop_result,23.0148425748067,24.0850348371291,14.3168847277071
cat_result,25.2452218829379,26.7278715646664,19.9246558437662
undef_result,27.632229214887,27.3357196640546,20.8526798039824
itob_result,20.4708780621246,23.6495291837179,14.8267915285558
squeeze_result,26.3421015802867,27.5136201490772,27.2446755276149
define_result,25.178885307257,24.6037083809486,16.8263237444086
find_result,23.7995259504588,24.2750674235657,15.9248760080331
,,,
Average Precision Mean: 25.173405694693674,,,
Average Sequence Matcher Similarity Precision Mean: 26.537332041731165,,,
Average Cosine Similarity Precision Mean: 17.759131114952144,,,
